FECHA;HORA_UTC;LATITUD (grados);LONGITUD (grados);PROFUNDIDAD (Km);MAGNITUD Ml;MAGNITUD Mw;DEPARTAMENTO;MUNICIPIO;# FASES;RMS (Seg);GAP (grados);ERROR LATITUD (Km);ERROR LONGITUD (Km);ERROR PROFUNDIDAD (Km);ESTADO
2011-05-23;17:19:49;9,589;-73,313;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.30;132;3,5;4,6;6,7;Revisado
2011-05-24;17:52:48;9,668;-73,354;0;2,2;;CESAR;BECERRIL;4; 0.50;246;20,3;18,7;11,1;Revisado
2011-05-24;23:06:38;9,644;-73,439;0;1,7;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.70;126;19,2;17,1;17,6;Revisado
2011-05-27;17:19:16;9,543;-73,621;0;2;;CESAR;EL_PASO;5; 0.10;117;3,6;3;7,3;Revisado
2011-06-02;10:54:06;9,737;-73,402;0,9;2;;CESAR;BECERRIL;5; 0.30;247;9,8;9,4;11,6;Revisado
2011-06-04;17:46:11;9,699;-73,369;0;2,6;;CESAR;BECERRIL;5; 0.40;246;16,4;11,2;11,6;Revisado
2011-06-04;22:54:20;9,649;-73,494;4;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;123;4,4;10,5;10,4;Revisado
2011-06-07;17:45:15;9,459;-73,489;0;2,1;;CESAR;CHIRIGUANA;5; 0.50;141;4,2;11,1;10,5;Revisado
2011-06-07;22:56:21;9,7;-73,456;2,4;2;;CESAR;BECERRIL;7; 0.50;125;5,8;7,4;14,2;Revisado
2011-06-08;17:46:43;9,441;-73,479;4;2,2;;CESAR;CHIRIGUANA;6; 0.60;124;4,8;7,4;12;Revisado
2011-06-10;10:55:30;9,703;-73,443;0;2;;CESAR;BECERRIL;5; 0.30;125;6;5,8;7,6;Revisado
2011-06-10;17:50:19;9,48;-73,504;0;2,3;;CESAR;CHIRIGUANA;6; 0.50;123;5,5;5,9;9,2;Revisado
2011-06-14;17:48:36;9,708;-73,361;0;2,1;;CESAR;BECERRIL;4; 0.30;247;12,8;9,7;9,6;Revisado
2011-06-15;17:43:39;9,567;-73,455;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.70;238;19,2;19,5;23,6;Revisado
2011-06-17;17:55:29;9,611;-73,405;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.80;241;31,1;29,8;16,7;Revisado
2011-06-19;17:49:13;9,418;-73,49;0;2;;CESAR;CHIRIGUANA;4; 0.80;262;51,3;27,9;26,4;Revisado
2011-06-20;11:00:57;9,763;-73,418;0;2;;CESAR;BECERRIL;6; 0.50;126;9,4;8,9;15,4;Revisado
2011-06-21;10:55:01;9,63;-73,498;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;239;15,6;15,5;15,6;Revisado
2011-06-21;17:23:54;9,418;-73,491;0;1,7;;CESAR;CHIRIGUANA;4; 0.60;230;26,3;35,5;24,1;Revisado
2011-06-24;16:59:41;9,634;-73,645;0,2;2,4;;CESAR;EL_PASO;5; 0.40;234;19;14,4;11,4;Revisado
2011-06-24;18:52:55;9,561;-73,593;0,4;1,9;;CESAR;EL_PASO;4; 0.10;233;9,3;7,2;10,9;Revisado
2011-06-25;17:33:49;9,581;-73,514;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;236;16;19,6;11,8;Revisado
2011-06-25;22:02:01;9,669;-73,624;0,1;2,3;;CESAR;EL_PASO;5; 0.50;237;24,3;21,1;28,2;Revisado
2011-06-27;17:41:41;9,365;-73,576;0;2,1;;CESAR;CHIRIGUANA;4; 0.40;329;19,7;37,5;25,1;Revisado
2011-06-27;20:37:30;9,697;-73,439;0;2,3;;CESAR;BECERRIL;6; 0.30;244;8,4;8,3;6,8;Revisado
2011-06-29;17:29:19;9,45;-73,448;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;233;12,2;14,1;12,2;Revisado
